记录类型,优先级,接入状态,模态大类,模态编码,能力类型,能力编码,输入模态,输入模态编码,输出模态,输出模态编码,供应商分类,供应商分类编码,供应商编码,供应商名称,厂商,协议族,协议适配器键,模型族键,模型族名称,模型名称或模式,示例模型,官网,控制台,文档地址,余额地址,价格地址,默认Base URL,默认Endpoint,HTTP方法,鉴权方式,API Key环境变量,额外鉴权字段,是否已有Worker支持,可复用级别,复用Client键,复用Handler键,复用持久化键,复用结果Schema键,复用前端渲染键,复用表单模板键,兼容供应商编码,共用请求参数,供应商特有参数,默认参数JSON,参数映射JSON,共用响应契约,供应商响应差异,结果资源类型,是否媒体落盘,媒体URL模式,计费方式,计费单位,币种,输入价每百万Token,输出价每百万Token,按次价格,按单位价格,免费额度,建议预估算力,算力倍率,BillableUnits来源,限流RPM,限流TPM,并发限制,默认超时秒,重试策略,是否支持幂等,是否需要文件上传,上传Endpoint,是否需要下载结果,安全与合规要点,后端Provider注册,后端模型配置,后端工具模板,后端结果Schema,Worker Registry,Worker Client文件,Worker Handler文件,Worker持久化文件,Worker路由规则,前端表单,前端结果渲染,测试命令,验收标准,已知风险,价格核对日期,最后验证日期,开发备注
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本,TEXT,文本,TEXT,协议复用,protocol,deepseek_compatible,DeepSeek,DeepSeek,openai_chat_completions,chat_completions_adapter,lingke_text_deepseek,deepseek-v4-pro,deepseek-v4-pro,deepseek-v4-pro,https://www.deepseek.com,https://platform.deepseek.com,https://api-docs.deepseek.com/,https://platform.deepseek.com/top_up,https://api-docs.deepseek.com/quick_start/pricing,https://api.deepseek.com,/chat/completions,POST,bearer,DEEPSEEK_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,TODO,TODO,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,false,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=98;厂商备注:;简介:DeepSeek V4 系列高性能旗舰开源大模型，具备顶尖推理与 Agent 能力，支持超长上下文，适配国产昂腾芯片，性价比极高。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本,TEXT,文本,TEXT,协议复用,protocol,deepseek_compatible,DeepSeek,DeepSeek,openai_chat_completions,chat_completions_adapter,lingke_text_deepseek,deepseek-v4-flash,deepseek-v4-flash,deepseek-v4-flash,https://www.deepseek.com,https://platform.deepseek.com,https://api-docs.deepseek.com/,https://platform.deepseek.com/top_up,https://api-docs.deepseek.com/quick_start/pricing,https://api.deepseek.com,/chat/completions,POST,bearer,DEEPSEEK_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,TODO,TODO,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,false,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=97;厂商备注:;简介:DeepSeek V4 系列的轻量化版本，主打高性价比与高吞吐效率，适合通用对话和基础文本任务，同时支持百万Token长上下文和高效推理。
具体模型,P0,待接入,image,image,图片生成,IMAGE_GENERATION,文本|图片,TEXT|IMAGE,图片,IMAGE,厂商适配,vendor,openai_images,OpenAI图片,OpenAI,openai_images,image_generation_adapter,lingke_image_openai_image,GPT Image 2 官转,gpt-image-2,gpt-image-2,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs/guides/image-generation,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing#image-generation,https://api.openai.com/v1,/images/generations,POST,bearer,OPENAI_API_KEY,,部分复用,高复用,openai_image_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_generation_default,siliconflow_images; fal_images; replicate_images; stability_images; openai_images,"model,prompt,image_size,batch_size,negative_prompt,seed","guidance_scale,num_inference_steps,style,quality,response_format","{""image_size"":""1024x1024"",""batch_size"":1}","{""prompt"":""prompt"",""aspectRatio"":""image_size"",""count"":""batch_size""}",contentJson.images[]包含url/sourceUrl/width/height；resourceType=IMAGE,有的返回URL，有的返回base64，有的是异步jobId,IMAGE,true,/generated/images/{taskId}/image-{n}.png,TOKEN_PER_M,tokens,USD,TODO,TODO,,,,10,1,billableUnits,,,,600,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/siliconflow_video_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,executionHandler=IMAGE_GENERATION 或 toolType=IMAGE_GENERATION,image_generation_default,ResultRenderer图片画廊,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=96;厂商备注:按图像token计费;简介:OpenAI 官方直连通道，按 token 精准计费、多退少补；文生图与多图参考编辑兼备，画质与稳定性全面拉满。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,xai_grok,xAI Grok,xAI,openai_chat_completions,chat_completions_adapter,lingke_text_xai,grok-4-20,grok-4.20-0309-reasoning,grok-4.20-0309-reasoning,https://x.ai,https://console.x.ai,https://docs.x.ai/developers/models,https://console.x.ai,https://docs.x.ai/developers/pricing,https://api.x.ai,/chat/completions,POST,bearer,XAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; xai_grok,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,1.25,2.50,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=94;厂商备注:;简介:xAI 旗舰新一代 Grok 4.20，行业领先的速度 + 代理工具调用能力，结合市场最低幻觉率与严格指令依从，内置「深度思考」开关：关闭=快速对话，开启=先推理再回复，一个模型涵盖日常闲聊、代码调试
具体模型,P0,待接入,image,image,图片生成,IMAGE_GENERATION,文本|图片,TEXT|IMAGE,图片,IMAGE,厂商适配,vendor,openai_images,OpenAI图片,OpenAI,openai_images,image_generation_adapter,lingke_image_openai_image,GPT Image 2,gpt-image-2,gpt-image-2,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs/guides/image-generation,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing#image-generation,https://api.openai.com/v1,/images/generations,POST,bearer,OPENAI_API_KEY,,部分复用,高复用,openai_image_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_generation_default,siliconflow_images; fal_images; replicate_images; stability_images; openai_images,"model,prompt,image_size,batch_size,negative_prompt,seed","guidance_scale,num_inference_steps,style,quality,response_format","{""image_size"":""1024x1024"",""batch_size"":1}","{""prompt"":""prompt"",""aspectRatio"":""image_size"",""count"":""batch_size""}",contentJson.images[]包含url/sourceUrl/width/height；resourceType=IMAGE,有的返回URL，有的返回base64，有的是异步jobId,IMAGE,true,/generated/images/{taskId}/image-{n}.png,TOKEN_PER_M,tokens,USD,TODO,TODO,,,,10,1,billableUnits,,,,600,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/siliconflow_video_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,executionHandler=IMAGE_GENERATION 或 toolType=IMAGE_GENERATION,image_generation_default,ResultRenderer图片画廊,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=93;厂商备注:;简介:OpenAI 最新一代图像生成模型，语义理解与细节表现更强，支持文生图与图生图。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.4 mini,gpt-5.4-mini,gpt-5.4-mini,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,0.75,TODO,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=92;厂商备注:;简介:GPT-5.4 mini 将 GPT-5.4 的优势融入到一个更快、更高效的模型中，专为高负载工作而设计。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,openai,OpenAI,OpenAI,openai_chat_completions,chat_completions_adapter,lingke_text_openai,GPT-5.4 nano,gpt-5.4-nano,gpt-5.4-nano,https://openai.com,https://platform.openai.com,https://platform.openai.com/docs,https://platform.openai.com/settings/organization/billing/overview,https://platform.openai.com/docs/pricing,https://api.openai.com/v1,/responses,POST,bearer,OPENAI_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; openai,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,TODO,TODO,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=91;厂商备注:;简介:GPT-5.4 nano 是 GPT-5.4 最轻量、最快速的版本，专为对速度和成本要求极高的任务而设计。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,厂商适配,vendor,anthropic_claude,Anthropic Claude,Anthropic,anthropic_messages,anthropic_messages_adapter,lingke_text_anthropic,opus-4-7,claude-opus-4-7,claude-opus-4-7,https://www.anthropic.com,https://console.anthropic.com,https://docs.anthropic.com/en/api/getting-started,https://console.anthropic.com/settings/billing,https://docs.anthropic.com/en/about-claude/pricing,https://api.anthropic.com,/v1/messages,POST,bearer,ANTHROPIC_API_KEY,,部分复用,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible; anthropic_claude,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,USD,5,25,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=90;厂商备注:;简介:Claude系列最新一代旗舰模型，在复杂逻辑推理、数学证明及创意写作的细腻度上进一步提升，文采斑斓且极难被检测出是AI。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,文本|图片|视频,TEXT|IMAGE|VIDEO,视频,VIDEO,厂商适配,vendor,alibaba_wanxiang,阿里云万相,阿里云,dashscope_video,wan_video_adapter,lingke_video_alibaba_wan,万相 2.7 参考生,wan2.7-r2v,wan2.7-r2v,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_wanxiang,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=89;厂商备注:;简介:阿里云万相2.7旗舰参考生视频模型，支持文本生视频和参考生视频两种模式。纯文本自动走文生视频(t2v)，上传参考图片或视频后自动切换为参考生视频(r2v)。支持720P/1080P分辨率，最长15秒视
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,视频|图片,VIDEO|IMAGE,视频,VIDEO,厂商适配,vendor,alibaba_wanxiang,阿里云万相,阿里云,dashscope_video,wan_video_adapter,lingke_video_alibaba_wan,万相 2.7 视频续写,wan2.7-video-extend,wan2.7-video-extend,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_wanxiang,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=88;厂商备注:;简介:阿里云万相2.7视频续写模型，支持首段视频续写和首段视频+尾帧续写两种模式。上传视频片段自动续写，可选添加尾帧图片引导视频方向。支持720P/1080P分辨率，最长15秒视频生成。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,图片|文本,IMAGE|TEXT,视频,VIDEO,厂商适配,vendor,alibaba_wanxiang,阿里云万相,阿里云,dashscope_video,wan_video_adapter,lingke_video_alibaba_wan,万相 2.7 首尾帧,wan2.7-i2v,wan2.7-i2v,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/video-generation/video-synthesis,POST,bearer,DASHSCOPE_API_KEY,,部分复用,中复用,wan_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; alibaba_wanxiang,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_SECOND,second,CNY,,,,,,50,1,按秒,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=87;厂商备注:;简介:阿里云万相2.7旗舰图生视频模型，支持首帧/首尾帧两种模式。上传1张图片自动走首帧生视频，上传2张图片自动走首尾帧生视频。支持720P/1080P分辨率，最长15秒视频生成。
具体模型,P0,待接入,image,image,图片生成,IMAGE_GENERATION,文本|图片,TEXT|IMAGE,图片,IMAGE,厂商适配,vendor,alibaba_wanxiang,阿里云万相,阿里云,dashscope_video,wan_video_adapter,lingke_image_alibaba_wan,万相 2.7 图像,wan2.7-image,wan2.7-image,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/text-to-video-api-reference,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com,/api/v1/services/aigc/image-generation/generation,POST,bearer,DASHSCOPE_API_KEY,,部分复用,高复用,wan_video_client,image_generation_handler,generated_image_persister,image_gallery_result,image_renderer,image_generation_default,siliconflow_images; fal_images; replicate_images; stability_images; alibaba_wanxiang,"model,prompt,image_size,batch_size,negative_prompt,seed","guidance_scale,num_inference_steps,style,quality,response_format","{""image_size"":""1024x1024"",""batch_size"":1}","{""prompt"":""prompt"",""aspectRatio"":""image_size"",""count"":""batch_size""}",contentJson.images[]包含url/sourceUrl/width/height；resourceType=IMAGE,有的返回URL，有的返回base64，有的是异步jobId,IMAGE,true,/generated/images/{taskId}/image-{n}.png,PER_IMAGE,image,CNY,,,,,,10,1,billableUnits,,,,600,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/siliconflow_video_client.py,worker/handlers/image_generation_handler.py,worker/handlers/generated_image_persister.py,executionHandler=IMAGE_GENERATION 或 toolType=IMAGE_GENERATION,image_generation_default,ResultRenderer图片画廊,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=86;厂商备注:;简介:阿里云通义万相2.7图像模型，支持文生图和图像编辑，支持最高4K分辨率输出，拥有卓越的中文语义理解能力和思考增强模式，生成质量行业领先。
具体模型,P0,待接入,text,text,文本生成,TEXT_GENERATION,文本|图片,TEXT|IMAGE,文本,TEXT,协议复用,protocol,qwen_compatible,阿里云百炼千问,阿里云,openai_chat_completions,chat_completions_adapter,lingke_text_alibaba_qwen,千问 3.6 Plus,qwen3.6-plus,qwen3.6-plus,https://www.aliyun.com/product/bailian,https://bailian.console.aliyun.com,https://help.aliyun.com/zh/model-studio/qwen-api-via-dashscope,https://billing.aliyun.com,https://help.aliyun.com/zh/model-studio/model-pricing,https://dashscope.aliyuncs.com/compatible-mode/v1,/chat/completions,POST,bearer,DASHSCOPE_API_KEY,,true,高复用,model_client_openai_compatible,text_task_handler,none,markdown_text_result,text_markdown_renderer,text_generation_default,openai_compatible; deepseek_compatible; qwen_compatible; moonshot_compatible,"model,messages,temperature,max_tokens,stream","top_p,presence_penalty,frequency_penalty,response_format,tools","{""temperature"":0.7}","{""prompt"":""messages[-1].content"",""maxTokens"":""max_tokens""}",返回文本内容；可带promptTokens/completionTokens,不同厂商usage字段和choices路径可能轻微不同,MARKDOWN,false,,TOKEN_PER_M,tokens,CNY,TODO,TODO,,,,10,1,promptTokens+completionTokens,,,,60,超时/网络错误重试1次；4xx不重试,false,true,,false,,新增,需要配置,通常不需要,不需要,通常不需要,worker/client/model_client.py,worker/handlers/text_task_handler.py,,executionHandler=TEXT_GENERATION,text_generation_default,ResultRenderer文本/Markdown,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=85;厂商备注:;简介:阿里云百炼千问3.6 Plus，新一代原生多模态旗舰模型，支持100万Token超长上下文、深度思考与联网搜索，在复杂推理、代码编程与多模态理解上全面升级。
具体模型,P0,待接入,video,video,视频生成,VIDEO_GENERATION,文本|图片,TEXT|IMAGE,视频,VIDEO,厂商适配,vendor,pixverse_video,PixVerse,PixVerse,pixverse_video,pixverse_video_adapter,lingke_video_pixverse,Pix C1 参考生,v6/c1,v6/c1,https://pixverse.ai,https://platform.pixverse.ai,https://docs.platform.pixverse.ai/,https://platform.pixverse.ai,https://docs.platform.pixverse.ai/,https://app-api.pixverse.ai,/openapi/v2/video/text/generate,POST,api_key_header,PIXVERSE_API_KEY,,部分复用,中复用,pixverse_video_client,video_generation_handler,generated_video_persister,video_result,video_renderer,video_generation_default,seedance; kling_video; wan_video; runway_video; pixverse_video,"model,prompt,duration,ratio","image_url,resolution,camera_fixed,seed,fps,negative_prompt","{""duration"":5,""ratio"":""16:9""}","{""prompt"":""prompt"",""referenceImage"":""image_url"",""aspectRatio"":""ratio""}",contentJson.videos[]包含url/coverUrl/duration；resourceType=VIDEO,通常异步，状态枚举差异较大,VIDEO,true,/generated/video/{taskId}/video-{n}.mp4,PER_VIDEO_OR_SECOND,second,USD,,,,,,50,1,billableUnits,,,,900,超时/网络错误重试1次；4xx不重试,false,true,,true,,新增,需要配置,通常复用,可能需要扩展,已存在,worker/client/seedance_video_client.py,worker/handlers/video_generation_handler.py,TODO,executionHandler=VIDEO_GENERATION 或 toolType=VIDEO_GENERATION,video_generation_default,ResultRenderer视频播放器,,后台可配置；工具可绑定；任务可完成或失败释放算力；结果可渲染,聚合站展示名可能与厂商API model字段不完全一致，接入前以厂商文档为准,2026-05-21,2026-05-21,来源:星枢AI(lingkeai.ai，原 lingkeai.ai 跳转);站点ID=84;厂商备注:参考生;简介:PixVerse C1 视频生成模型，专为打斗、法术特效及高速运动等动态场景优化。支持文生视频和参考生两种模式，不传图自动走文生，传图自动走参考生（最多7张），自动生成有声视频，支持360P-1080
